"item_number","item_description","item_type","category","uom","weight","dimensions","color","material","manufacturer","manufacturer_part_number","supplier_code","supplier_part_number","lead_time_days","minimum_order_quantity","unit_cost","currency","country_of_origin","compliance_status","is_serialized","is_npi","is_obsolete","status","created_date","last_modified_date","revision","notes"
"ITEM-091","Electric Mountain Bike 91","FINISHED_GOOD","BICYCLES","SET","46.8","160x85x18cm","White","Steel","Trek Bikes","PART-000091","SUP010","SUP-PART-000091","65","22","2483.39","USD","China","REACH","true","true","false","OBSOLETE","2024-11-15","2024-12-05","R3","Notes for ITEM-091"
"ITEM-092","TOOL BICYCLES Component 92","TOOL","BICYCLES","L","2.6","117x80x8cm","Red","Plastic","Panasonic","PART-000092","SUP010","SUP-PART-000092","46","94","3211.86","USD","Japan","FCC","true","false","false","NPI","2025-04-28","2025-05-07","R5","Notes for ITEM-092"
"ITEM-093","TOOL WHEELS Component 93","TOOL","WHEELS","KG","22.7","140x18x44cm","Silver","Plastic","LG","PART-000093","SUP002","SUP-PART-000093","27","18","874.95","USD","Taiwan","FCC","false","false","true","NPI","2025-10-05","2025-10-14","R2","Notes for ITEM-093"
"ITEM-094","Electric Mountain Bike 94","FINISHED_GOOD","BICYCLES","KG","6.0","16x63x34cm","Blue","Steel","Xiaomi","PART-000094","SUP001","SUP-PART-000094","83","44","1268.94","USD","Germany","UN38.3","true","false","false","ACTIVE","2025-06-15","2025-06-22","R2","Notes for ITEM-094"
"ITEM-095","RAW_MATERIAL BICYCLES Component 95","RAW_MATERIAL","BICYCLES","M","18.6","102x85x12cm","Red","Plastic","Panasonic","PART-000095","SUP007","SUP-PART-000095","68","47","2411.55","USD","Japan","REACH","false","false","true","NPI","2025-04-20","2025-05-03","R2","Notes for ITEM-095"
"ITEM-096","ASSEMBLY WHEELS Component 96","ASSEMBLY","WHEELS","KG","4.1","134x65x11cm","Red","Titanium","Xiaomi","PART-000096","SUP006","SUP-PART-000096","56","70","4077.52","USD","Germany","FCC","false","false","false","NPI","2025-05-22","2025-06-04","R3","Notes for ITEM-096"
"ITEM-097","Product 97","FINISHED_GOOD","FRAMES","L","46.1","34x77x22cm","Red","Aluminum","Samsung","PART-000097","SUP010","SUP-PART-000097","29","24","2066.32","USD","Taiwan","ROHS","false","false","true","INACTIVE","2025-02-04","2025-02-07","R4","Notes for ITEM-097"
"ITEM-098","TOOL BATTERIES Component 98","TOOL","BATTERIES","KG","48.5","60x66x44cm","Blue","Titanium","Panasonic","PART-000098","SUP010","SUP-PART-000098","41","61","1360.64","USD","USA","UN38.3","true","true","false","NPI","2025-10-20","2025-11-10","R4","Notes for ITEM-098"
"ITEM-099","COMPONENT WHEELS Component 99","COMPONENT","WHEELS","M","2.0","31x65x49cm","Red","Aluminum","Xiaomi","PART-000099","SUP005","SUP-PART-000099","39","20","3416.6","USD","USA","FCC","true","false","false","INACTIVE","2024-10-24","2024-11-21","R5","Notes for ITEM-099"
"ITEM-100","ASSEMBLY BATTERIES Component 100","ASSEMBLY","BATTERIES","M","29.0","52x38x48cm","Black","Carbon Fiber","Xiaomi","PART-000100","SUP004","SUP-PART-000100","9","36","4097.64","USD","USA","FCC","true","false","true","OBSOLETE","2025-06-26","2025-07-07","R5","Notes for ITEM-100"
"ITEM-101","COMPONENT WHEELS Component 101","COMPONENT","WHEELS","M","47.5","68x71x40cm","White","Plastic","Samsung","PART-000101","SUP003","SUP-PART-000101","80","26","4220.54","USD","USA","CE","false","false","false","INACTIVE","2025-09-14","2025-10-06","R2","Notes for ITEM-101"
"ITEM-102","ASSEMBLY BATTERIES Component 102","ASSEMBLY","BATTERIES","M","44.6","98x43x16cm","Silver","Carbon Fiber","LG","PART-000102","SUP010","SUP-PART-000102","88","88","3344.4","USD","Germany","UN38.3","true","true","false","NPI","2025-07-22","2025-08-11","R1","Notes for ITEM-102"
"ITEM-103","Product 103","FINISHED_GOOD","BATTERIES","KG","15.4","85x72x42cm","Red","Titanium","Trek Bikes","PART-000103","SUP008","SUP-PART-000103","67","57","2791.33","USD","China","FCC","false","false","false","OBSOLETE","2025-10-14","2025-10-23","R2","Notes for ITEM-103"
"ITEM-104","RAW_MATERIAL SCOOTERS Component 104","RAW_MATERIAL","SCOOTERS","EA","39.5","76x75x49cm","Matte Black","Aluminum","LG","PART-000104","SUP007","SUP-PART-000104","29","53","4099.08","USD","Taiwan","FCC","true","false","true","INACTIVE","2025-02-16","2025-03-02","R3","Notes for ITEM-104"
"ITEM-105","Product 105","FINISHED_GOOD","WHEELS","KG","44.8","55x75x44cm","Silver","Carbon Fiber","Trek Bikes","PART-000105","SUP003","SUP-PART-000105","85","3","1330.49","USD","Taiwan","REACH","false","true","false","INACTIVE","2025-08-11","2025-08-23","R2","Notes for ITEM-105"
"ITEM-106","COMPONENT FRAMES Component 106","COMPONENT","FRAMES","EA","32.0","18x68x32cm","Silver","Titanium","Trek Bikes","PART-000106","SUP010","SUP-PART-000106","60","42","1241.47","USD","USA","ROHS","true","true","false","INACTIVE","2025-07-28","2025-08-07","R5","Notes for ITEM-106"
"ITEM-107","COMPONENT BICYCLES Component 107","COMPONENT","BICYCLES","EA","42.5","198x37x38cm","Black","Aluminum","Samsung","PART-000107","SUP003","SUP-PART-000107","56","87","3700.51","USD","China","UN38.3","false","false","false","NPI","2025-03-23","2025-03-31","R3","Notes for ITEM-107"
"ITEM-108","COMPONENT BICYCLES Component 108","COMPONENT","BICYCLES","EA","0.9","128x69x29cm","Black","Carbon Fiber","Trek Bikes","PART-000108","SUP005","SUP-PART-000108","50","79","436.21","USD","Taiwan","REACH","true","true","true","ACTIVE","2024-11-14","2024-12-02","R3","Notes for ITEM-108"
"ITEM-109","Product 109","FINISHED_GOOD","BATTERIES","EA","46.0","122x58x22cm","White","Carbon Fiber","LG","PART-000109","SUP008","SUP-PART-000109","71","55","1725.46","USD","Taiwan","CE","false","true","true","OBSOLETE","2025-05-03","2025-05-28","R4","Notes for ITEM-109"
"ITEM-110","ASSEMBLY BICYCLES Component 110","ASSEMBLY","BICYCLES","M","6.9","58x86x13cm","Red","Aluminum","Panasonic","PART-000110","SUP001","SUP-PART-000110","52","26","668.22","USD","Japan","ROHS","false","false","false","INACTIVE","2025-05-02","2025-05-05","R5","Notes for ITEM-110"
"ITEM-111","Product 111","FINISHED_GOOD","BATTERIES","EA","39.2","157x64x30cm","Blue","Titanium","LG","PART-000111","SUP003","SUP-PART-000111","46","12","4212.49","USD","Taiwan","CE","false","false","true","INACTIVE","2024-11-28","2024-12-16","R5","Notes for ITEM-111"
"ITEM-112","RAW_MATERIAL SCOOTERS Component 112","RAW_MATERIAL","SCOOTERS","EA","35.4","116x75x10cm","Red","Plastic","Xiaomi","PART-000112","SUP004","SUP-PART-000112","21","54","499.47","USD","China","UN38.3","false","false","false","INACTIVE","2025-04-06","2025-05-03","R4","Notes for ITEM-112"
"ITEM-113","RAW_MATERIAL ELECTRONICS Component 113","RAW_MATERIAL","ELECTRONICS","L","29.1","111x40x13cm","White","Plastic","Panasonic","PART-000113","SUP005","SUP-PART-000113","14","100","3396.31","USD","USA","UN38.3","true","true","true","INACTIVE","2024-11-21","2024-12-13","R1","Notes for ITEM-113"
"ITEM-114","COMPONENT ELECTRONICS Component 114","COMPONENT","ELECTRONICS","EA","11.7","126x19x13cm","Matte Black","Steel","Panasonic","PART-000114","SUP009","SUP-PART-000114","22","78","502.65","USD","Taiwan","ROHS","true","true","true","NPI","2025-07-17","2025-08-02","R1","Notes for ITEM-114"
"ITEM-115","TOOL ELECTRONICS Component 115","TOOL","ELECTRONICS","L","42.5","101x99x39cm","Blue","Plastic","LG","PART-000115","SUP009","SUP-PART-000115","52","78","2999.03","USD","USA","FCC","false","true","false","INACTIVE","2025-04-18","2025-05-08","R3","Notes for ITEM-115"
"ITEM-116","TOOL BATTERIES Component 116","TOOL","BATTERIES","L","26.9","23x69x40cm","Matte Black","Plastic","Samsung","PART-000116","SUP010","SUP-PART-000116","43","57","3514.97","USD","Japan","UN38.3","false","false","true","INACTIVE","2025-01-18","2025-02-15","R5","Notes for ITEM-116"
"ITEM-117","TOOL BICYCLES Component 117","TOOL","BICYCLES","M","38.1","158x76x48cm","Red","Plastic","Samsung","PART-000117","SUP003","SUP-PART-000117","87","82","2120.53","USD","Japan","ROHS","false","false","false","OBSOLETE","2024-12-09","2024-12-27","R4","Notes for ITEM-117"
"ITEM-118","RAW_MATERIAL SCOOTERS Component 118","RAW_MATERIAL","SCOOTERS","KG","39.2","27x49x13cm","White","Steel","Trek Bikes","PART-000118","SUP005","SUP-PART-000118","17","84","4180.21","USD","China","FCC","true","true","true","OBSOLETE","2025-05-17","2025-05-22","R3","Notes for ITEM-118"
"ITEM-119","RAW_MATERIAL FRAMES Component 119","RAW_MATERIAL","FRAMES","M","27.2","106x37x28cm","Silver","Aluminum","Xiaomi","PART-000119","SUP001","SUP-PART-000119","62","61","819.39","USD","China","FCC","true","true","false","NPI","2025-05-20","2025-05-27","R4","Notes for ITEM-119"
"ITEM-120","COMPONENT ELECTRONICS Component 120","COMPONENT","ELECTRONICS","KG","4.4","75x68x42cm","Silver","Plastic","Trek Bikes","PART-000120","SUP010","SUP-PART-000120","39","66","1741.89","USD","Taiwan","ROHS","false","true","false","NPI","2025-01-19","2025-02-12","R5","Notes for ITEM-120"
"ITEM-121","RAW_MATERIAL BICYCLES Component 121","RAW_MATERIAL","BICYCLES","M","21.5","120x95x28cm","Silver","Aluminum","Xiaomi","PART-000121","SUP005","SUP-PART-000121","71","87","2192.61","USD","China","FCC","true","true","true","OBSOLETE","2025-06-22","2025-07-05","R2","Notes for ITEM-121"
"ITEM-122","Product 122","FINISHED_GOOD","BATTERIES","M","46.8","198x41x46cm","Black","Plastic","Trek Bikes","PART-000122","SUP002","SUP-PART-000122","37","11","762.27","USD","Germany","ROHS","false","false","false","NPI","2025-05-06","2025-05-24","R5","Notes for ITEM-122"
"ITEM-123","Product 123","FINISHED_GOOD","BATTERIES","L","12.2","126x46x34cm","Matte Black","Plastic","LG","PART-000123","SUP008","SUP-PART-000123","62","62","3914.68","USD","Taiwan","ROHS","true","true","true","NPI","2025-07-20","2025-08-06","R5","Notes for ITEM-123"
"ITEM-124","ASSEMBLY SCOOTERS Component 124","ASSEMBLY","SCOOTERS","EA","31.6","49x92x41cm","Black","Plastic","LG","PART-000124","SUP001","SUP-PART-000124","41","56","4472.45","USD","Germany","UN38.3","false","true","true","ACTIVE","2024-12-08","2024-12-18","R2","Notes for ITEM-124"
"ITEM-125","TOOL FRAMES Component 125","TOOL","FRAMES","M","6.1","47x19x32cm","Black","Titanium","LG","PART-000125","SUP005","SUP-PART-000125","10","10","3518.24","USD","Japan","UN38.3","true","true","false","NPI","2025-02-16","2025-02-20","R4","Notes for ITEM-125"
"ITEM-126","RAW_MATERIAL FRAMES Component 126","RAW_MATERIAL","FRAMES","L","6.3","41x74x30cm","Red","Carbon Fiber","Trek Bikes","PART-000126","SUP004","SUP-PART-000126","10","63","329.09","USD","China","UN38.3","true","true","false","OBSOLETE","2025-03-18","2025-03-31","R5","Notes for ITEM-126"
"ITEM-127","RAW_MATERIAL BATTERIES Component 127","RAW_MATERIAL","BATTERIES","EA","18.1","70x19x7cm","Blue","Steel","Panasonic","PART-000127","SUP010","SUP-PART-000127","74","55","2104.51","USD","Germany","FCC","false","false","true","OBSOLETE","2025-01-20","2025-02-05","R5","Notes for ITEM-127"
"ITEM-128","COMPONENT BATTERIES Component 128","COMPONENT","BATTERIES","EA","5.1","187x37x20cm","Matte Black","Carbon Fiber","Trek Bikes","PART-000128","SUP004","SUP-PART-000128","50","3","1658.47","USD","Taiwan","ROHS","true","false","false","NPI","2024-12-11","2024-12-30","R5","Notes for ITEM-128"
"ITEM-129","ASSEMBLY ELECTRONICS Component 129","ASSEMBLY","ELECTRONICS","EA","34.5","58x90x26cm","Blue","Carbon Fiber","LG","PART-000129","SUP003","SUP-PART-000129","42","61","1133.95","USD","Taiwan","CE","true","true","true","OBSOLETE","2024-11-23","2024-12-06","R1","Notes for ITEM-129"
"ITEM-130","Product 130","FINISHED_GOOD","FRAMES","M","22.4","50x81x22cm","Black","Plastic","Samsung","PART-000130","SUP002","SUP-PART-000130","1","69","3658.47","USD","Japan","CE","true","true","false","OBSOLETE","2025-02-21","2025-03-09","R3","Notes for ITEM-130"
"ITEM-131","TOOL ELECTRONICS Component 131","TOOL","ELECTRONICS","SET","36.9","177x44x50cm","Silver","Titanium","LG","PART-000131","SUP008","SUP-PART-000131","66","91","2226.17","USD","USA","REACH","false","true","true","INACTIVE","2024-12-05","2024-12-11","R1","Notes for ITEM-131"
"ITEM-132","ASSEMBLY BATTERIES Component 132","ASSEMBLY","BATTERIES","KG","15.1","91x17x49cm","Silver","Plastic","Samsung","PART-000132","SUP004","SUP-PART-000132","75","6","3477.72","USD","USA","REACH","true","false","true","ACTIVE","2025-10-01","2025-10-30","R2","Notes for ITEM-132"
"ITEM-133","ASSEMBLY FRAMES Component 133","ASSEMBLY","FRAMES","L","38.4","129x98x7cm","Silver","Plastic","Trek Bikes","PART-000133","SUP010","SUP-PART-000133","76","71","2945.95","USD","China","FCC","false","true","false","INACTIVE","2025-10-05","2025-10-10","R3","Notes for ITEM-133"
"ITEM-134","RAW_MATERIAL SCOOTERS Component 134","RAW_MATERIAL","SCOOTERS","EA","4.0","94x91x36cm","Silver","Plastic","Panasonic","PART-000134","SUP009","SUP-PART-000134","84","52","4672.18","USD","Germany","REACH","false","false","false","OBSOLETE","2025-04-29","2025-05-25","R5","Notes for ITEM-134"
"ITEM-135","COMPONENT WHEELS Component 135","COMPONENT","WHEELS","SET","2.1","195x96x46cm","Blue","Steel","Samsung","PART-000135","SUP008","SUP-PART-000135","58","19","1594.52","USD","Japan","CE","true","true","false","OBSOLETE","2025-04-14","2025-05-07","R3","Notes for ITEM-135"
"ITEM-136","COMPONENT BATTERIES Component 136","COMPONENT","BATTERIES","M","39.3","84x96x37cm","Blue","Carbon Fiber","Trek Bikes","PART-000136","SUP003","SUP-PART-000136","80","60","58.45","USD","China","FCC","false","true","true","NPI","2025-01-06","2025-01-30","R5","Notes for ITEM-136"
"ITEM-137","TOOL BATTERIES Component 137","TOOL","BATTERIES","M","36.8","75x47x33cm","Silver","Plastic","Panasonic","PART-000137","SUP008","SUP-PART-000137","90","81","2304.13","USD","China","ROHS","true","false","false","NPI","2024-12-14","2024-12-26","R4","Notes for ITEM-137"
"ITEM-138","COMPONENT BATTERIES Component 138","COMPONENT","BATTERIES","SET","11.8","105x83x33cm","Blue","Plastic","Xiaomi","PART-000138","SUP006","SUP-PART-000138","22","30","1118.26","USD","USA","REACH","true","false","false","INACTIVE","2025-03-21","2025-04-03","R2","Notes for ITEM-138"
"ITEM-139","ASSEMBLY ELECTRONICS Component 139","ASSEMBLY","ELECTRONICS","KG","34.8","194x16x22cm","Black","Carbon Fiber","Trek Bikes","PART-000139","SUP007","SUP-PART-000139","78","83","2350.54","USD","USA","REACH","true","false","false","ACTIVE","2025-05-03","2025-05-30","R5","Notes for ITEM-139"
"ITEM-140","TOOL BICYCLES Component 140","TOOL","BICYCLES","SET","32.7","141x70x38cm","Red","Aluminum","LG","PART-000140","SUP001","SUP-PART-000140","35","86","2467.46","USD","Germany","ROHS","true","false","true","ACTIVE","2025-01-31","2025-02-21","R5","Notes for ITEM-140"
"ITEM-141","COMPONENT BATTERIES Component 141","COMPONENT","BATTERIES","EA","5.9","173x62x19cm","Silver","Titanium","LG","PART-000141","SUP010","SUP-PART-000141","71","38","4546.24","USD","China","ROHS","false","false","false","ACTIVE","2025-03-20","2025-03-23","R2","Notes for ITEM-141"
"ITEM-142","RAW_MATERIAL WHEELS Component 142","RAW_MATERIAL","WHEELS","KG","1.4","44x100x43cm","Matte Black","Aluminum","Samsung","PART-000142","SUP010","SUP-PART-000142","24","47","641.24","USD","China","UN38.3","false","true","true","NPI","2025-02-01","2025-02-27","R4","Notes for ITEM-142"
"ITEM-143","RAW_MATERIAL BICYCLES Component 143","RAW_MATERIAL","BICYCLES","EA","35.7","178x61x38cm","Matte Black","Titanium","Xiaomi","PART-000143","SUP007","SUP-PART-000143","72","17","3193.89","USD","China","ROHS","false","false","true","NPI","2025-01-09","2025-01-10","R2","Notes for ITEM-143"
"ITEM-144","ASSEMBLY SCOOTERS Component 144","ASSEMBLY","SCOOTERS","EA","39.5","134x17x32cm","White","Plastic","Panasonic","PART-000144","SUP001","SUP-PART-000144","31","42","168.04","USD","Japan","FCC","false","true","false","OBSOLETE","2024-11-01","2024-11-25","R3","Notes for ITEM-144"
"ITEM-145","RAW_MATERIAL SCOOTERS Component 145","RAW_MATERIAL","SCOOTERS","M","36.8","186x87x12cm","Black","Plastic","Panasonic","PART-000145","SUP003","SUP-PART-000145","47","25","790.48","USD","Taiwan","UN38.3","false","true","false","NPI","2025-06-15","2025-06-23","R4","Notes for ITEM-145"
"ITEM-146","ASSEMBLY ELECTRONICS Component 146","ASSEMBLY","ELECTRONICS","SET","42.7","81x67x43cm","Red","Carbon Fiber","Panasonic","PART-000146","SUP004","SUP-PART-000146","34","72","793.78","USD","Japan","UN38.3","false","true","false","NPI","2025-08-22","2025-09-19","R2","Notes for ITEM-146"
"ITEM-147","RAW_MATERIAL FRAMES Component 147","RAW_MATERIAL","FRAMES","L","9.0","83x97x49cm","Silver","Aluminum","Xiaomi","PART-000147","SUP010","SUP-PART-000147","69","38","4022.75","USD","China","CE","true","true","true","ACTIVE","2025-07-02","2025-07-06","R5","Notes for ITEM-147"
"ITEM-148","ASSEMBLY SCOOTERS Component 148","ASSEMBLY","SCOOTERS","M","24.6","116x73x11cm","Red","Steel","Panasonic","PART-000148","SUP001","SUP-PART-000148","66","31","889.26","USD","Germany","CE","false","true","false","NPI","2024-12-24","2025-01-03","R5","Notes for ITEM-148"
"ITEM-149","RAW_MATERIAL BICYCLES Component 149","RAW_MATERIAL","BICYCLES","KG","9.5","44x89x45cm","Silver","Titanium","Xiaomi","PART-000149","SUP001","SUP-PART-000149","36","9","4570.24","USD","USA","REACH","true","false","false","INACTIVE","2025-03-29","2025-04-11","R3","Notes for ITEM-149"
"ITEM-150","COMPONENT WHEELS Component 150","COMPONENT","WHEELS","L","27.3","160x13x37cm","Blue","Steel","Trek Bikes","PART-000150","SUP008","SUP-PART-000150","68","37","567.77","USD","Taiwan","UN38.3","true","true","false","OBSOLETE","2025-03-09","2025-03-30","R5","Notes for ITEM-150"
"ITEM-151","Smart City Scooter 151","FINISHED_GOOD","SCOOTERS","SET","5.2","85x78x34cm","Matte Black","Steel","Xiaomi","PART-000151","SUP005","SUP-PART-000151","26","49","668.65","USD","Japan","REACH","false","true","true","ACTIVE","2025-09-21","2025-09-29","R3","Notes for ITEM-151"
"ITEM-152","ASSEMBLY BATTERIES Component 152","ASSEMBLY","BATTERIES","L","44.6","84x44x41cm","Black","Plastic","LG","PART-000152","SUP002","SUP-PART-000152","86","22","4292.21","USD","Japan","REACH","true","false","true","ACTIVE","2025-03-04","2025-03-24","R3","Notes for ITEM-152"
"ITEM-153","TOOL BATTERIES Component 153","TOOL","BATTERIES","SET","25.3","95x96x23cm","White","Titanium","Trek Bikes","PART-000153","SUP010","SUP-PART-000153","33","7","3121.45","USD","Taiwan","REACH","false","false","true","INACTIVE","2025-03-12","2025-03-26","R2","Notes for ITEM-153"
"ITEM-154","TOOL WHEELS Component 154","TOOL","WHEELS","L","44.3","175x31x35cm","Matte Black","Aluminum","Xiaomi","PART-000154","SUP005","SUP-PART-000154","60","11","2439.08","USD","Taiwan","UN38.3","true","false","true","NPI","2025-10-09","2025-10-10","R4","Notes for ITEM-154"
"ITEM-155","RAW_MATERIAL ELECTRONICS Component 155","RAW_MATERIAL","ELECTRONICS","L","8.4","93x93x35cm","Red","Aluminum","Xiaomi","PART-000155","SUP003","SUP-PART-000155","15","14","858.77","USD","Germany","CE","true","false","false","OBSOLETE","2025-02-17","2025-02-22","R2","Notes for ITEM-155"
"ITEM-156","COMPONENT ELECTRONICS Component 156","COMPONENT","ELECTRONICS","L","7.4","106x27x35cm","Blue","Aluminum","Samsung","PART-000156","SUP008","SUP-PART-000156","8","13","138.33","USD","Taiwan","ROHS","true","true","true","INACTIVE","2025-08-14","2025-09-05","R4","Notes for ITEM-156"
"ITEM-157","COMPONENT BICYCLES Component 157","COMPONENT","BICYCLES","EA","42.8","108x30x19cm","Matte Black","Aluminum","Samsung","PART-000157","SUP005","SUP-PART-000157","32","80","2550.56","USD","USA","REACH","false","true","false","NPI","2025-08-13","2025-08-15","R3","Notes for ITEM-157"
"ITEM-158","TOOL SCOOTERS Component 158","TOOL","SCOOTERS","EA","36.9","74x71x8cm","White","Carbon Fiber","Trek Bikes","PART-000158","SUP006","SUP-PART-000158","19","62","3857.83","USD","Japan","ROHS","false","false","false","INACTIVE","2025-02-13","2025-03-07","R5","Notes for ITEM-158"
"ITEM-159","TOOL FRAMES Component 159","TOOL","FRAMES","SET","47.8","144x11x25cm","Black","Aluminum","Trek Bikes","PART-000159","SUP005","SUP-PART-000159","18","34","2428.55","USD","Germany","ROHS","false","false","false","INACTIVE","2024-11-09","2024-11-15","R2","Notes for ITEM-159"
"ITEM-160","COMPONENT SCOOTERS Component 160","COMPONENT","SCOOTERS","EA","4.0","31x34x26cm","White","Steel","LG","PART-000160","SUP007","SUP-PART-000160","80","23","4137.3","USD","Taiwan","FCC","false","true","true","OBSOLETE","2025-04-30","2025-05-03","R4","Notes for ITEM-160"
"ITEM-161","Product 161","FINISHED_GOOD","BATTERIES","KG","19.1","129x11x11cm","Matte Black","Titanium","Trek Bikes","PART-000161","SUP009","SUP-PART-000161","39","77","1103.65","USD","Taiwan","ROHS","false","false","false","NPI","2024-12-13","2025-01-09","R2","Notes for ITEM-161"
"ITEM-162","Product 162","FINISHED_GOOD","FRAMES","L","7.8","150x93x15cm","White","Carbon Fiber","Samsung","PART-000162","SUP006","SUP-PART-000162","14","56","1079.11","USD","China","REACH","false","false","false","ACTIVE","2025-04-25","2025-05-24","R4","Notes for ITEM-162"
"ITEM-163","RAW_MATERIAL BATTERIES Component 163","RAW_MATERIAL","BATTERIES","SET","9.7","11x79x42cm","Red","Titanium","LG","PART-000163","SUP005","SUP-PART-000163","38","90","179.67","USD","Taiwan","FCC","false","false","true","NPI","2025-04-19","2025-05-06","R3","Notes for ITEM-163"
"ITEM-164","RAW_MATERIAL FRAMES Component 164","RAW_MATERIAL","FRAMES","KG","30.8","178x25x10cm","Silver","Plastic","Xiaomi","PART-000164","SUP003","SUP-PART-000164","82","13","3128.38","USD","Germany","ROHS","true","false","true","INACTIVE","2025-08-17","2025-09-04","R4","Notes for ITEM-164"
"ITEM-165","ASSEMBLY ELECTRONICS Component 165","ASSEMBLY","ELECTRONICS","L","2.4","166x36x29cm","Silver","Steel","Trek Bikes","PART-000165","SUP009","SUP-PART-000165","22","8","3673.32","USD","Taiwan","UN38.3","false","false","false","OBSOLETE","2025-02-04","2025-03-06","R5","Notes for ITEM-165"
"ITEM-166","ASSEMBLY BATTERIES Component 166","ASSEMBLY","BATTERIES","SET","45.6","14x40x10cm","Black","Steel","Samsung","PART-000166","SUP009","SUP-PART-000166","56","42","2312.37","USD","Japan","REACH","false","false","false","OBSOLETE","2025-10-02","2025-10-09","R2","Notes for ITEM-166"
"ITEM-167","Product 167","FINISHED_GOOD","ELECTRONICS","EA","30.4","104x96x41cm","Silver","Aluminum","Panasonic","PART-000167","SUP008","SUP-PART-000167","65","31","1651.72","USD","China","CE","false","false","true","OBSOLETE","2025-10-01","2025-10-06","R4","Notes for ITEM-167"
"ITEM-168","COMPONENT BICYCLES Component 168","COMPONENT","BICYCLES","L","13.4","150x66x35cm","White","Carbon Fiber","Samsung","PART-000168","SUP006","SUP-PART-000168","88","100","4358.36","USD","Germany","UN38.3","false","false","false","NPI","2025-01-07","2025-01-30","R1","Notes for ITEM-168"
"ITEM-169","COMPONENT FRAMES Component 169","COMPONENT","FRAMES","L","21.6","16x72x12cm","Red","Plastic","LG","PART-000169","SUP002","SUP-PART-000169","89","5","842.79","USD","Germany","ROHS","true","true","true","ACTIVE","2025-02-16","2025-03-04","R4","Notes for ITEM-169"
"ITEM-170","Product 170","FINISHED_GOOD","ELECTRONICS","M","17.2","145x28x45cm","Black","Aluminum","Panasonic","PART-000170","SUP005","SUP-PART-000170","17","41","493.04","USD","China","CE","true","true","false","INACTIVE","2024-12-12","2024-12-16","R5","Notes for ITEM-170"
"ITEM-171","COMPONENT FRAMES Component 171","COMPONENT","FRAMES","EA","39.6","171x41x12cm","Matte Black","Titanium","Trek Bikes","PART-000171","SUP006","SUP-PART-000171","34","20","2760.12","USD","Germany","UN38.3","true","false","true","NPI","2024-11-08","2024-11-27","R2","Notes for ITEM-171"
"ITEM-172","ASSEMBLY SCOOTERS Component 172","ASSEMBLY","SCOOTERS","KG","49.5","66x51x8cm","White","Aluminum","Xiaomi","PART-000172","SUP005","SUP-PART-000172","54","41","1297.0","USD","Taiwan","UN38.3","true","false","false","INACTIVE","2025-02-21","2025-03-04","R5","Notes for ITEM-172"
"ITEM-173","TOOL ELECTRONICS Component 173","TOOL","ELECTRONICS","SET","13.4","183x49x46cm","Matte Black","Titanium","Trek Bikes","PART-000173","SUP003","SUP-PART-000173","70","88","3565.56","USD","Germany","CE","false","true","true","ACTIVE","2025-09-04","2025-09-29","R4","Notes for ITEM-173"
"ITEM-174","ASSEMBLY FRAMES Component 174","ASSEMBLY","FRAMES","EA","47.5","153x43x35cm","Silver","Titanium","Trek Bikes","PART-000174","SUP007","SUP-PART-000174","28","39","3477.81","USD","China","CE","true","true","true","NPI","2024-11-28","2024-12-10","R2","Notes for ITEM-174"
"ITEM-175","RAW_MATERIAL BICYCLES Component 175","RAW_MATERIAL","BICYCLES","KG","30.5","95x29x19cm","White","Titanium","LG","PART-000175","SUP003","SUP-PART-000175","81","78","810.16","USD","Taiwan","CE","false","true","true","INACTIVE","2025-07-12","2025-07-31","R5","Notes for ITEM-175"
"ITEM-176","COMPONENT WHEELS Component 176","COMPONENT","WHEELS","M","22.2","151x19x7cm","Matte Black","Steel","LG","PART-000176","SUP001","SUP-PART-000176","74","46","1427.24","USD","China","UN38.3","false","true","true","NPI","2025-01-07","2025-02-05","R4","Notes for ITEM-176"
"ITEM-177","TOOL BATTERIES Component 177","TOOL","BATTERIES","SET","26.6","144x94x31cm","White","Titanium","Samsung","PART-000177","SUP006","SUP-PART-000177","39","15","2194.2","USD","China","REACH","true","true","false","NPI","2025-04-21","2025-04-26","R1","Notes for ITEM-177"
"ITEM-178","TOOL WHEELS Component 178","TOOL","WHEELS","M","37.5","22x13x21cm","Red","Aluminum","LG","PART-000178","SUP005","SUP-PART-000178","63","91","4279.9","USD","China","REACH","true","false","true","NPI","2025-05-22","2025-06-20","R1","Notes for ITEM-178"
"ITEM-179","ASSEMBLY ELECTRONICS Component 179","ASSEMBLY","ELECTRONICS","KG","5.9","48x34x6cm","Silver","Aluminum","Samsung","PART-000179","SUP007","SUP-PART-000179","25","62","4061.28","USD","USA","ROHS","true","true","false","ACTIVE","2025-05-22","2025-06-05","R1","Notes for ITEM-179"
"ITEM-180","Electric Mountain Bike 180","FINISHED_GOOD","BICYCLES","M","7.9","124x71x49cm","Black","Plastic","Panasonic","PART-000180","SUP003","SUP-PART-000180","89","6","1572.02","USD","Germany","UN38.3","false","false","true","INACTIVE","2025-04-09","2025-04-15","R4","Notes for ITEM-180"
"ITEM-181","RAW_MATERIAL ELECTRONICS Component 181","RAW_MATERIAL","ELECTRONICS","SET","27.3","62x77x48cm","Silver","Aluminum","Samsung","PART-000181","SUP005","SUP-PART-000181","75","84","4152.18","USD","Taiwan","REACH","true","true","false","OBSOLETE","2025-08-22","2025-08-23","R2","Notes for ITEM-181"
