"bom_id","parent_item_number","component_item_number","quantity","quantity_unit","sequence_number","supply_type","sourcing_type","supplier_code","supplier_part_number","lead_time_days","effective_date","expiration_date","is_active","is_optional","is_phantom","scrap_factor","yield_factor","setup_time_minutes","cycle_time_minutes","labor_hours","tooling_required","special_instructions","quality_requirements","test_requirements","packaging_requirements","created_by","created_date","last_modified_by","last_modified_date","revision","approval_status","notes"
"BOM-033","ITEM-053","ITEM-159","68.14","EA","68","MAKE","DUAL_SOURCE","SUP005","SUP-PART-000496","48","2025-07-27","2025-11-26","false","false","false","0.006","0.975","23","35","5.1","SPECIAL","Instructions for ITEM-159","Quality requirements for ITEM-159","Test requirements for ITEM-159","Packaging requirements for ITEM-159","USER004","2025-07-18","USER006","2025-07-27","R2","APPROVED","Notes for BOM BOM-033"
"BOM-012","ITEM-047","ITEM-121","13.32","M","24","MAKE_OR_BUY","EXTERNAL","SUP003","SUP-PART-000623","27","2025-08-22","2025-12-27","false","true","true","0.074","0.982","11","43","4.7","NO","Instructions for ITEM-121","Quality requirements for ITEM-121","Test requirements for ITEM-121","Packaging requirements for ITEM-121","USER004","2025-08-11","USER007","2025-08-17","R3","APPROVED","Notes for BOM BOM-012"
"BOM-004","ITEM-078","ITEM-177","81.27","M","34","MAKE_OR_BUY","EXTERNAL","SUP002","SUP-PART-000852","26","2025-10-02","2026-03-16","true","true","false","0.059","0.951","39","42","4.7","SPECIAL","Instructions for ITEM-177","Quality requirements for ITEM-177","Test requirements for ITEM-177","Packaging requirements for ITEM-177","USER006","2025-09-29","USER006","2025-09-30","R3","REJECTED","Notes for BOM BOM-004"
"BOM-001","ITEM-061","ITEM-140","71.71","L","46","MAKE","DUAL_SOURCE","SUP002","SUP-PART-000631","51","2025-06-26","2026-03-19","false","true","true","0.037","0.975","25","16","3.0","SPECIAL","Instructions for ITEM-140","Quality requirements for ITEM-140","Test requirements for ITEM-140","Packaging requirements for ITEM-140","USER006","2025-06-12","USER002","2025-06-13","R4","APPROVED","Notes for BOM BOM-001"
"BOM-019","ITEM-039","ITEM-439","64.84","L","20","MAKE_OR_BUY","DUAL_SOURCE","SUP004","SUP-PART-000187","33","2025-04-28","2026-01-22","false","true","true","0.024","0.983","23","3","4.9","YES","Instructions for ITEM-439","Quality requirements for ITEM-439","Test requirements for ITEM-439","Packaging requirements for ITEM-439","USER005","2025-04-07","USER010","2025-04-11","R3","PENDING","Notes for BOM BOM-019"
"BOM-044","ITEM-042","ITEM-418","57.42","KG","45","BUY","INTERNAL","SUP005","SUP-PART-000106","59","2025-05-06","2025-06-12","false","false","true","0.092","0.99","29","7","4.7","YES","Instructions for ITEM-418","Quality requirements for ITEM-418","Test requirements for ITEM-418","Packaging requirements for ITEM-418","USER002","2025-05-02","USER003","2025-05-10","R1","APPROVED","Notes for BOM BOM-044"
"BOM-006","ITEM-010","ITEM-220","49.69","EA","99","BUY","DUAL_SOURCE","SUP004","SUP-PART-000839","48","2025-10-02","2026-03-28","true","true","false","0.021","0.96","69","22","1.1","NO","Instructions for ITEM-220","Quality requirements for ITEM-220","Test requirements for ITEM-220","Packaging requirements for ITEM-220","USER003","2025-09-17","USER007","2025-09-18","R5","REJECTED","Notes for BOM BOM-006"
"BOM-007","ITEM-038","ITEM-390","77.37","L","25","BUY","DUAL_SOURCE","SUP003","SUP-PART-000502","10","2025-10-14","2026-01-28","true","true","true","0.053","0.978","10","45","3.1","SPECIAL","Instructions for ITEM-390","Quality requirements for ITEM-390","Test requirements for ITEM-390","Packaging requirements for ITEM-390","USER007","2025-10-06","USER003","2025-10-13","R3","DRAFT","Notes for BOM BOM-007"
"BOM-034","ITEM-064","ITEM-478","94.98","KG","50","MAKE_OR_BUY","INTERNAL","SUP004","SUP-PART-000654","48","2025-06-08","2026-05-18","false","false","false","0.022","0.983","88","56","7.2","NO","Instructions for ITEM-478","Quality requirements for ITEM-478","Test requirements for ITEM-478","Packaging requirements for ITEM-478","USER008","2025-06-06","USER004","2025-06-15","R3","DRAFT","Notes for BOM BOM-034"
"BOM-045","ITEM-070","ITEM-309","69.53","L","72","BUY","DUAL_SOURCE","SUP002","SUP-PART-000228","39","2025-07-09","2026-01-22","false","false","true","0.015","0.981","78","49","4.4","NO","Instructions for ITEM-309","Quality requirements for ITEM-309","Test requirements for ITEM-309","Packaging requirements for ITEM-309","USER008","2025-07-02","USER003","2025-07-07","R5","APPROVED","Notes for BOM BOM-045"
"BOM-030","ITEM-069","ITEM-326","10.88","M","57","MAKE","EXTERNAL","SUP004","SUP-PART-000693","23","2025-04-29","2026-03-26","true","false","false","0.096","0.967","18","50","4.7","NO","Instructions for ITEM-326","Quality requirements for ITEM-326","Test requirements for ITEM-326","Packaging requirements for ITEM-326","USER008","2025-04-22","USER004","2025-04-30","R2","REJECTED","Notes for BOM BOM-030"
"BOM-047","ITEM-047","ITEM-282","28.9","M","56","BUY","EXTERNAL","SUP002","SUP-PART-000446","55","2025-05-09","2026-05-05","true","true","true","0.025","0.95","11","33","1.9","YES","Instructions for ITEM-282","Quality requirements for ITEM-282","Test requirements for ITEM-282","Packaging requirements for ITEM-282","USER002","2025-04-12","USER008","2025-04-15","R1","PENDING","Notes for BOM BOM-047"
"BOM-030","ITEM-083","ITEM-161","36.2","KG","84","BUY","INTERNAL","SUP001","SUP-PART-000070","52","2025-06-28","2025-12-03","true","true","false","0.076","0.956","58","41","1.5","YES","Instructions for ITEM-161","Quality requirements for ITEM-161","Test requirements for ITEM-161","Packaging requirements for ITEM-161","USER003","2025-06-03","USER010","2025-06-04","R1","DRAFT","Notes for BOM BOM-030"
"BOM-049","ITEM-086","ITEM-453","90.04","L","76","MAKE_OR_BUY","EXTERNAL","SUP005","SUP-PART-000308","34","2025-10-16","2026-02-17","false","true","true","0.055","0.987","68","21","4.3","NO","Instructions for ITEM-453","Quality requirements for ITEM-453","Test requirements for ITEM-453","Packaging requirements for ITEM-453","USER003","2025-09-26","USER001","2025-09-29","R1","APPROVED","Notes for BOM BOM-049"
"BOM-006","ITEM-078","ITEM-449","23.8","L","9","MAKE_OR_BUY","EXTERNAL","SUP004","SUP-PART-000890","17","2025-08-04","2025-09-11","true","false","false","0.038","0.983","21","16","1.7","NO","Instructions for ITEM-449","Quality requirements for ITEM-449","Test requirements for ITEM-449","Packaging requirements for ITEM-449","USER004","2025-07-30","USER004","2025-08-04","R2","APPROVED","Notes for BOM BOM-006"
"BOM-008","ITEM-029","ITEM-484","14.27","M","29","BUY","DUAL_SOURCE","SUP002","SUP-PART-000903","34","2025-07-10","2025-12-19","false","false","false","0.095","0.963","102","44","6.9","SPECIAL","Instructions for ITEM-484","Quality requirements for ITEM-484","Test requirements for ITEM-484","Packaging requirements for ITEM-484","USER006","2025-07-01","USER009","2025-07-08","R1","REJECTED","Notes for BOM BOM-008"
"BOM-045","ITEM-015","ITEM-297","54.18","KG","69","MAKE_OR_BUY","INTERNAL","SUP002","SUP-PART-000404","8","2025-06-30","2025-11-07","true","false","false","0.057","0.95","99","52","4.8","YES","Instructions for ITEM-297","Quality requirements for ITEM-297","Test requirements for ITEM-297","Packaging requirements for ITEM-297","USER010","2025-06-06","USER010","2025-06-15","R1","REJECTED","Notes for BOM BOM-045"
"BOM-045","ITEM-027","ITEM-373","47.91","M","19","MAKE","EXTERNAL","SUP004","SUP-PART-000346","57","2025-10-03","2025-12-06","true","false","false","0.037","0.982","18","29","5.3","YES","Instructions for ITEM-373","Quality requirements for ITEM-373","Test requirements for ITEM-373","Packaging requirements for ITEM-373","USER010","2025-09-27","USER003","2025-09-29","R3","DRAFT","Notes for BOM BOM-045"
"BOM-045","ITEM-005","ITEM-191","55.67","L","92","MAKE","EXTERNAL","SUP001","SUP-PART-000681","1","2025-04-27","2025-12-08","false","true","true","0.005","0.955","56","42","1.1","NO","Instructions for ITEM-191","Quality requirements for ITEM-191","Test requirements for ITEM-191","Packaging requirements for ITEM-191","USER010","2025-04-06","USER008","2025-04-07","R1","PENDING","Notes for BOM BOM-045"
"BOM-018","ITEM-089","ITEM-474","5.38","KG","57","MAKE_OR_BUY","DUAL_SOURCE","SUP002","SUP-PART-000371","40","2025-06-25","2025-11-13","false","true","true","0.04","0.984","86","18","3.1","NO","Instructions for ITEM-474","Quality requirements for ITEM-474","Test requirements for ITEM-474","Packaging requirements for ITEM-474","USER008","2025-06-03","USER001","2025-06-09","R4","APPROVED","Notes for BOM BOM-018"
"BOM-005","ITEM-001","ITEM-145","96.52","KG","95","MAKE_OR_BUY","DUAL_SOURCE","SUP003","SUP-PART-000592","17","2025-07-31","2026-02-04","true","true","true","0.019","0.992","5","26","6.2","YES","Instructions for ITEM-145","Quality requirements for ITEM-145","Test requirements for ITEM-145","Packaging requirements for ITEM-145","USER005","2025-07-26","USER003","2025-07-28","R1","APPROVED","Notes for BOM BOM-005"
"BOM-024","ITEM-027","ITEM-489","40.68","M","11","MAKE","DUAL_SOURCE","SUP005","SUP-PART-000300","32","2025-09-21","2026-09-01","true","true","true","0.049","0.958","41","30","7.6","SPECIAL","Instructions for ITEM-489","Quality requirements for ITEM-489","Test requirements for ITEM-489","Packaging requirements for ITEM-489","USER005","2025-09-01","USER004","2025-09-09","R1","APPROVED","Notes for BOM BOM-024"
"BOM-035","ITEM-012","ITEM-357","92.6","KG","8","MAKE_OR_BUY","INTERNAL","SUP002","SUP-PART-000668","32","2025-06-22","2026-05-06","true","false","false","0.062","0.967","99","26","7.7","YES","Instructions for ITEM-357","Quality requirements for ITEM-357","Test requirements for ITEM-357","Packaging requirements for ITEM-357","USER007","2025-06-17","USER002","2025-06-25","R3","DRAFT","Notes for BOM BOM-035"
"BOM-022","ITEM-062","ITEM-350","10.78","KG","43","MAKE_OR_BUY","EXTERNAL","SUP005","SUP-PART-000726","39","2025-07-07","2026-06-20","false","false","false","0.061","0.973","117","21","7.7","SPECIAL","Instructions for ITEM-350","Quality requirements for ITEM-350","Test requirements for ITEM-350","Packaging requirements for ITEM-350","USER001","2025-06-25","USER010","2025-06-27","R5","REJECTED","Notes for BOM BOM-022"
"BOM-043","ITEM-043","ITEM-326","15.47","EA","66","MAKE","INTERNAL","SUP004","SUP-PART-000233","6","2025-05-13","2025-10-07","false","true","true","0.053","0.99","19","30","1.1","YES","Instructions for ITEM-326","Quality requirements for ITEM-326","Test requirements for ITEM-326","Packaging requirements for ITEM-326","USER007","2025-04-27","USER001","2025-05-06","R3","APPROVED","Notes for BOM BOM-043"
"BOM-035","ITEM-028","ITEM-109","96.79","L","55","BUY","INTERNAL","SUP004","SUP-PART-000694","23","2025-09-14","2026-04-28","true","true","false","0.01","0.972","52","60","0.8","NO","Instructions for ITEM-109","Quality requirements for ITEM-109","Test requirements for ITEM-109","Packaging requirements for ITEM-109","USER005","2025-09-13","USER010","2025-09-17","R2","REJECTED","Notes for BOM BOM-035"
"BOM-035","ITEM-046","ITEM-392","78.15","EA","11","MAKE","EXTERNAL","SUP005","SUP-PART-000382","33","2025-09-30","2026-05-06","false","true","false","0.077","0.962","7","22","6.9","NO","Instructions for ITEM-392","Quality requirements for ITEM-392","Test requirements for ITEM-392","Packaging requirements for ITEM-392","USER007","2025-09-27","USER009","2025-10-05","R4","APPROVED","Notes for BOM BOM-035"
"BOM-048","ITEM-087","ITEM-269","89.97","KG","27","MAKE_OR_BUY","EXTERNAL","SUP005","SUP-PART-000716","26","2025-09-20","2026-02-05","false","true","true","0.08","0.978","114","34","7.8","SPECIAL","Instructions for ITEM-269","Quality requirements for ITEM-269","Test requirements for ITEM-269","Packaging requirements for ITEM-269","USER003","2025-09-08","USER006","2025-09-10","R2","APPROVED","Notes for BOM BOM-048"
"BOM-026","ITEM-026","ITEM-296","46.94","KG","94","MAKE","EXTERNAL","SUP002","SUP-PART-000562","29","2025-05-17","2026-03-01","true","false","true","0.052","0.996","76","44","6.0","SPECIAL","Instructions for ITEM-296","Quality requirements for ITEM-296","Test requirements for ITEM-296","Packaging requirements for ITEM-296","USER007","2025-05-09","USER001","2025-05-11","R4","APPROVED","Notes for BOM BOM-026"
"BOM-021","ITEM-069","ITEM-473","69.37","L","36","BUY","INTERNAL","SUP001","SUP-PART-000398","2","2025-05-25","2025-07-03","true","true","true","0.027","0.997","108","17","3.4","YES","Instructions for ITEM-473","Quality requirements for ITEM-473","Test requirements for ITEM-473","Packaging requirements for ITEM-473","USER007","2025-05-11","USER007","2025-05-19","R5","REJECTED","Notes for BOM BOM-021"
"BOM-039","ITEM-091","ITEM-370","37.31","KG","21","MAKE_OR_BUY","INTERNAL","SUP004","SUP-PART-000623","1","2025-06-30","2026-01-23","true","false","true","0.054","0.989","111","42","4.1","YES","Instructions for ITEM-370","Quality requirements for ITEM-370","Test requirements for ITEM-370","Packaging requirements for ITEM-370","USER010","2025-06-29","USER010","2025-07-04","R2","REJECTED","Notes for BOM BOM-039"
"BOM-028","ITEM-026","ITEM-246","64.76","KG","51","MAKE","EXTERNAL","SUP003","SUP-PART-000666","7","2025-08-03","2026-04-14","true","true","true","0.027","0.992","104","38","7.7","NO","Instructions for ITEM-246","Quality requirements for ITEM-246","Test requirements for ITEM-246","Packaging requirements for ITEM-246","USER008","2025-07-21","USER002","2025-07-28","R3","APPROVED","Notes for BOM BOM-028"
"BOM-046","ITEM-004","ITEM-449","54.71","EA","2","MAKE","EXTERNAL","SUP001","SUP-PART-000943","8","2025-09-14","2026-07-03","false","true","true","0.065","0.958","104","16","3.7","NO","Instructions for ITEM-449","Quality requirements for ITEM-449","Test requirements for ITEM-449","Packaging requirements for ITEM-449","USER003","2025-08-28","USER010","2025-08-29","R5","DRAFT","Notes for BOM BOM-046"
"BOM-009","ITEM-085","ITEM-323","63.38","EA","27","BUY","DUAL_SOURCE","SUP001","SUP-PART-000794","56","2025-08-02","2026-03-17","true","false","true","0.08","0.993","63","13","6.5","YES","Instructions for ITEM-323","Quality requirements for ITEM-323","Test requirements for ITEM-323","Packaging requirements for ITEM-323","USER010","2025-07-27","USER005","2025-07-29","R1","DRAFT","Notes for BOM BOM-009"
"BOM-014","ITEM-090","ITEM-379","59.26","M","91","MAKE","DUAL_SOURCE","SUP001","SUP-PART-000181","52","2025-05-07","2025-06-22","false","true","true","0.051","0.968","16","5","1.4","YES","Instructions for ITEM-379","Quality requirements for ITEM-379","Test requirements for ITEM-379","Packaging requirements for ITEM-379","USER005","2025-04-18","USER001","2025-04-24","R3","APPROVED","Notes for BOM BOM-014"
"BOM-026","ITEM-064","ITEM-475","5.26","M","58","MAKE","DUAL_SOURCE","SUP005","SUP-PART-000430","23","2025-06-26","2026-06-18","false","false","true","0.074","0.982","24","48","0.8","YES","Instructions for ITEM-475","Quality requirements for ITEM-475","Test requirements for ITEM-475","Packaging requirements for ITEM-475","USER008","2025-06-09","USER009","2025-06-14","R2","APPROVED","Notes for BOM BOM-026"
"BOM-002","ITEM-025","ITEM-108","50.42","EA","77","MAKE_OR_BUY","INTERNAL","SUP003","SUP-PART-000227","22","2025-05-28","2026-01-26","false","true","true","0.078","0.985","72","55","7.7","NO","Instructions for ITEM-108","Quality requirements for ITEM-108","Test requirements for ITEM-108","Packaging requirements for ITEM-108","USER004","2025-04-30","USER006","2025-05-03","R2","DRAFT","Notes for BOM BOM-002"
"BOM-018","ITEM-083","ITEM-332","66.12","EA","19","MAKE","INTERNAL","SUP002","SUP-PART-000009","4","2025-05-01","2026-04-02","false","false","false","0.023","0.988","117","51","4.6","NO","Instructions for ITEM-332","Quality requirements for ITEM-332","Test requirements for ITEM-332","Packaging requirements for ITEM-332","USER007","2025-04-24","USER003","2025-05-02","R3","APPROVED","Notes for BOM BOM-018"
"BOM-033","ITEM-087","ITEM-394","11.42","EA","48","MAKE_OR_BUY","DUAL_SOURCE","SUP001","SUP-PART-000259","42","2025-10-22","2026-04-16","true","false","true","0.002","0.963","103","24","2.1","YES","Instructions for ITEM-394","Quality requirements for ITEM-394","Test requirements for ITEM-394","Packaging requirements for ITEM-394","USER005","2025-10-12","USER002","2025-10-19","R2","APPROVED","Notes for BOM BOM-033"
"BOM-035","ITEM-096","ITEM-125","42.03","M","98","MAKE_OR_BUY","DUAL_SOURCE","SUP005","SUP-PART-000681","46","2025-10-17","2026-03-22","false","true","false","0.001","0.959","75","29","2.2","NO","Instructions for ITEM-125","Quality requirements for ITEM-125","Test requirements for ITEM-125","Packaging requirements for ITEM-125","USER005","2025-10-13","USER007","2025-10-21","R1","DRAFT","Notes for BOM BOM-035"
"BOM-005","ITEM-035","ITEM-346","25.01","L","87","BUY","INTERNAL","SUP003","SUP-PART-000268","30","2025-07-26","2026-04-12","false","false","true","0.01","0.997","57","23","8.0","SPECIAL","Instructions for ITEM-346","Quality requirements for ITEM-346","Test requirements for ITEM-346","Packaging requirements for ITEM-346","USER005","2025-07-22","USER001","2025-07-29","R3","DRAFT","Notes for BOM BOM-005"
"BOM-046","ITEM-072","ITEM-426","79.24","KG","63","BUY","DUAL_SOURCE","SUP004","SUP-PART-000855","27","2025-05-21","2026-04-03","true","false","true","0.078","0.972","80","60","7.2","YES","Instructions for ITEM-426","Quality requirements for ITEM-426","Test requirements for ITEM-426","Packaging requirements for ITEM-426","USER007","2025-05-18","USER009","2025-05-19","R1","PENDING","Notes for BOM BOM-046"
"BOM-001","ITEM-046","ITEM-486","26.61","M","48","BUY","DUAL_SOURCE","SUP002","SUP-PART-000302","27","2025-07-01","2026-03-31","false","false","true","0.069","0.969","10","15","2.5","YES","Instructions for ITEM-486","Quality requirements for ITEM-486","Test requirements for ITEM-486","Packaging requirements for ITEM-486","USER006","2025-06-13","USER002","2025-06-21","R5","REJECTED","Notes for BOM BOM-001"
"BOM-033","ITEM-031","ITEM-200","62.32","M","84","MAKE","DUAL_SOURCE","SUP003","SUP-PART-000428","56","2025-06-22","2026-02-15","true","false","false","0.048","0.967","17","54","5.6","SPECIAL","Instructions for ITEM-200","Quality requirements for ITEM-200","Test requirements for ITEM-200","Packaging requirements for ITEM-200","USER007","2025-06-09","USER005","2025-06-12","R4","REJECTED","Notes for BOM BOM-033"
"BOM-037","ITEM-086","ITEM-127","81.05","EA","61","MAKE_OR_BUY","INTERNAL","SUP005","SUP-PART-000935","45","2025-07-17","2026-04-27","true","false","true","0.053","0.98","20","13","4.2","SPECIAL","Instructions for ITEM-127","Quality requirements for ITEM-127","Test requirements for ITEM-127","Packaging requirements for ITEM-127","USER003","2025-06-23","USER009","2025-06-26","R3","PENDING","Notes for BOM BOM-037"
"BOM-037","ITEM-005","ITEM-224","68.5","EA","95","BUY","DUAL_SOURCE","SUP004","SUP-PART-000137","26","2025-09-11","2025-11-06","false","true","false","0.05","0.992","102","28","2.4","SPECIAL","Instructions for ITEM-224","Quality requirements for ITEM-224","Test requirements for ITEM-224","Packaging requirements for ITEM-224","USER006","2025-08-22","USER004","2025-08-28","R5","DRAFT","Notes for BOM BOM-037"
"BOM-046","ITEM-088","ITEM-184","84.78","M","88","MAKE_OR_BUY","INTERNAL","SUP001","SUP-PART-000763","31","2025-05-09","2026-02-13","false","true","true","0.067","0.97","27","37","1.7","NO","Instructions for ITEM-184","Quality requirements for ITEM-184","Test requirements for ITEM-184","Packaging requirements for ITEM-184","USER006","2025-04-15","USER004","2025-04-21","R1","PENDING","Notes for BOM BOM-046"
"BOM-046","ITEM-025","ITEM-221","17.16","L","54","MAKE_OR_BUY","EXTERNAL","SUP003","SUP-PART-000272","42","2025-06-12","2026-03-23","false","true","true","0.052","0.997","89","44","1.8","SPECIAL","Instructions for ITEM-221","Quality requirements for ITEM-221","Test requirements for ITEM-221","Packaging requirements for ITEM-221","USER008","2025-05-20","USER007","2025-05-29","R5","REJECTED","Notes for BOM BOM-046"
"BOM-048","ITEM-037","ITEM-152","80.08","M","76","MAKE","EXTERNAL","SUP003","SUP-PART-000137","30","2025-04-28","2025-11-22","false","false","false","0.032","0.967","49","35","6.0","YES","Instructions for ITEM-152","Quality requirements for ITEM-152","Test requirements for ITEM-152","Packaging requirements for ITEM-152","USER005","2025-04-01","USER009","2025-04-09","R3","PENDING","Notes for BOM BOM-048"
"BOM-004","ITEM-056","ITEM-277","52.69","L","28","MAKE","DUAL_SOURCE","SUP005","SUP-PART-000991","44","2025-06-20","2026-02-09","false","false","true","0.009","0.957","37","25","7.0","NO","Instructions for ITEM-277","Quality requirements for ITEM-277","Test requirements for ITEM-277","Packaging requirements for ITEM-277","USER003","2025-06-17","USER007","2025-06-25","R5","DRAFT","Notes for BOM BOM-004"
"BOM-044","ITEM-026","ITEM-477","58.85","EA","86","MAKE_OR_BUY","DUAL_SOURCE","SUP002","SUP-PART-000770","12","2025-06-09","2026-03-11","true","false","false","0.045","0.963","32","24","2.5","SPECIAL","Instructions for ITEM-477","Quality requirements for ITEM-477","Test requirements for ITEM-477","Packaging requirements for ITEM-477","USER004","2025-05-17","USER004","2025-05-21","R5","APPROVED","Notes for BOM BOM-044"
"BOM-012","ITEM-017","ITEM-439","2.49","L","18","MAKE_OR_BUY","INTERNAL","SUP003","SUP-PART-000555","3","2025-04-27","2025-10-02","true","false","false","0.008","0.983","108","1","6.2","YES","Instructions for ITEM-439","Quality requirements for ITEM-439","Test requirements for ITEM-439","Packaging requirements for ITEM-439","USER007","2025-04-20","USER008","2025-04-27","R5","PENDING","Notes for BOM BOM-012"
"BOM-042","ITEM-078","ITEM-390","77.23","L","73","MAKE_OR_BUY","INTERNAL","SUP004","SUP-PART-000463","2","2025-06-06","2026-02-10","true","true","true","0.077","0.989","8","14","6.4","YES","Instructions for ITEM-390","Quality requirements for ITEM-390","Test requirements for ITEM-390","Packaging requirements for ITEM-390","USER006","2025-05-14","USER003","2025-05-23","R1","DRAFT","Notes for BOM BOM-042"
"BOM-014","ITEM-051","ITEM-198","87.7","EA","82","MAKE","DUAL_SOURCE","SUP003","SUP-PART-000491","1","2025-10-07","2026-06-29","true","false","false","0.047","0.985","51","29","6.7","SPECIAL","Instructions for ITEM-198","Quality requirements for ITEM-198","Test requirements for ITEM-198","Packaging requirements for ITEM-198","USER007","2025-09-13","USER002","2025-09-21","R1","APPROVED","Notes for BOM BOM-014"
"BOM-048","ITEM-024","ITEM-459","13.71","EA","15","BUY","EXTERNAL","SUP004","SUP-PART-000799","38","2025-09-07","2026-03-19","false","false","false","0.082","0.95","26","21","1.1","SPECIAL","Instructions for ITEM-459","Quality requirements for ITEM-459","Test requirements for ITEM-459","Packaging requirements for ITEM-459","USER009","2025-08-18","USER001","2025-08-22","R2","REJECTED","Notes for BOM BOM-048"
"BOM-004","ITEM-040","ITEM-131","7.97","EA","55","MAKE_OR_BUY","DUAL_SOURCE","SUP005","SUP-PART-000132","25","2025-10-22","2026-02-03","false","true","true","0.074","0.96","9","46","0.9","YES","Instructions for ITEM-131","Quality requirements for ITEM-131","Test requirements for ITEM-131","Packaging requirements for ITEM-131","USER003","2025-10-14","USER010","2025-10-17","R3","DRAFT","Notes for BOM BOM-004"
"BOM-037","ITEM-017","ITEM-296","59.46","KG","55","BUY","INTERNAL","SUP004","SUP-PART-000876","4","2025-08-04","2026-05-04","true","false","false","0.047","0.958","38","11","2.1","YES","Instructions for ITEM-296","Quality requirements for ITEM-296","Test requirements for ITEM-296","Packaging requirements for ITEM-296","USER002","2025-07-13","USER001","2025-07-14","R1","PENDING","Notes for BOM BOM-037"
"BOM-010","ITEM-004","ITEM-340","31.09","EA","32","MAKE","DUAL_SOURCE","SUP003","SUP-PART-000059","40","2025-10-17","2026-09-22","false","false","true","0.09","0.951","112","30","4.8","SPECIAL","Instructions for ITEM-340","Quality requirements for ITEM-340","Test requirements for ITEM-340","Packaging requirements for ITEM-340","USER005","2025-10-16","USER010","2025-10-19","R4","REJECTED","Notes for BOM BOM-010"
"BOM-021","ITEM-015","ITEM-373","33.35","KG","20","MAKE","INTERNAL","SUP005","SUP-PART-000192","57","2025-08-01","2026-03-19","true","true","true","0.08","0.974","81","3","4.1","SPECIAL","Instructions for ITEM-373","Quality requirements for ITEM-373","Test requirements for ITEM-373","Packaging requirements for ITEM-373","USER005","2025-07-28","USER001","2025-08-04","R3","REJECTED","Notes for BOM BOM-021"
"BOM-017","ITEM-036","ITEM-462","33.72","M","94","MAKE","DUAL_SOURCE","SUP002","SUP-PART-000519","52","2025-09-20","2026-01-11","true","false","true","0.034","0.958","89","1","2.2","SPECIAL","Instructions for ITEM-462","Quality requirements for ITEM-462","Test requirements for ITEM-462","Packaging requirements for ITEM-462","USER002","2025-09-04","USER002","2025-09-05","R1","APPROVED","Notes for BOM BOM-017"
"BOM-003","ITEM-092","ITEM-306","86.65","M","86","MAKE","INTERNAL","SUP001","SUP-PART-000851","26","2025-08-20","2026-08-20","true","false","false","0.072","0.968","66","56","0.2","NO","Instructions for ITEM-306","Quality requirements for ITEM-306","Test requirements for ITEM-306","Packaging requirements for ITEM-306","USER003","2025-08-15","USER005","2025-08-22","R1","PENDING","Notes for BOM BOM-003"
"BOM-036","ITEM-003","ITEM-125","13.34","L","43","MAKE_OR_BUY","EXTERNAL","SUP004","SUP-PART-000655","14","2025-06-22","2025-08-24","false","false","true","0.096","0.996","90","6","1.6","NO","Instructions for ITEM-125","Quality requirements for ITEM-125","Test requirements for ITEM-125","Packaging requirements for ITEM-125","USER001","2025-06-20","USER008","2025-06-23","R2","APPROVED","Notes for BOM BOM-036"
"BOM-047","ITEM-049","ITEM-115","23.61","L","85","BUY","DUAL_SOURCE","SUP005","SUP-PART-000663","17","2025-09-04","2025-11-08","true","false","true","0.087","0.986","31","59","3.1","NO","Instructions for ITEM-115","Quality requirements for ITEM-115","Test requirements for ITEM-115","Packaging requirements for ITEM-115","USER010","2025-08-30","USER004","2025-09-09","R3","DRAFT","Notes for BOM BOM-047"
"BOM-038","ITEM-068","ITEM-384","56.37","M","32","MAKE_OR_BUY","DUAL_SOURCE","SUP003","SUP-PART-000573","16","2025-06-14","2026-01-02","false","true","true","0.007","0.977","112","25","0.8","YES","Instructions for ITEM-384","Quality requirements for ITEM-384","Test requirements for ITEM-384","Packaging requirements for ITEM-384","USER006","2025-05-22","USER003","2025-05-31","R3","DRAFT","Notes for BOM BOM-038"
"BOM-037","ITEM-020","ITEM-188","14.12","L","39","MAKE_OR_BUY","INTERNAL","SUP003","SUP-PART-000365","52","2025-06-20","2026-04-06","true","true","true","0.027","0.994","91","7","1.1","NO","Instructions for ITEM-188","Quality requirements for ITEM-188","Test requirements for ITEM-188","Packaging requirements for ITEM-188","USER010","2025-06-02","USER001","2025-06-12","R4","DRAFT","Notes for BOM BOM-037"
"BOM-048","ITEM-050","ITEM-238","54.95","M","55","MAKE","DUAL_SOURCE","SUP002","SUP-PART-000265","28","2025-10-08","2026-07-06","true","false","false","0.076","0.958","118","4","8.0","NO","Instructions for ITEM-238","Quality requirements for ITEM-238","Test requirements for ITEM-238","Packaging requirements for ITEM-238","USER008","2025-09-21","USER007","2025-09-23","R2","PENDING","Notes for BOM BOM-048"
"BOM-049","ITEM-047","ITEM-344","31.78","L","95","MAKE_OR_BUY","DUAL_SOURCE","SUP003","SUP-PART-000309","51","2025-05-07","2025-11-24","true","true","true","0.067","0.959","61","27","3.2","YES","Instructions for ITEM-344","Quality requirements for ITEM-344","Test requirements for ITEM-344","Packaging requirements for ITEM-344","USER008","2025-04-25","USER010","2025-05-04","R3","APPROVED","Notes for BOM BOM-049"
"BOM-020","ITEM-097","ITEM-452","87.95","KG","31","BUY","EXTERNAL","SUP004","SUP-PART-000380","48","2025-08-03","2025-09-24","false","true","true","0.05","0.967","119","13","2.0","YES","Instructions for ITEM-452","Quality requirements for ITEM-452","Test requirements for ITEM-452","Packaging requirements for ITEM-452","USER007","2025-07-29","USER004","2025-08-05","R4","REJECTED","Notes for BOM BOM-020"
